Vendor,Brand,DS#,UPC,Product Name,Vendor Item#,Wholesale Cost,Drop Ship Cost,MSRP,Case Qty,# Images,Has Compliance Docs,Supplier ID,Source File,File Path
BLADEZ TOYS,BLADEZ,5531405,5061051300292,Bladez Electronic Whack-A-Mole (Blue/Green),BT30029,6.9,,19.99,12,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531405.json
BLADEZ TOYS,BLADEZ,5531406,5060158859078,Bladez TEK Lazer Tag (Red/Blue),BT85907.R,11,,29.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531406.json
BLADEZ TOYS,BLADEZ,5531407,5060158857029,Harry Potter Activity Set,BTHP-C10,2,,7.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531407.json
BLADEZ TOYS,BLADEZ,5531408,5060158857104,Harry Potter Creative Maker Kitz - Make Your Own Light Up Weasley Burrow,BTHP-C14,5.95,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531408.json
BLADEZ TOYS,BLADEZ,5531409,5060158856305,Harry Potter Creative Maker Kitz - Make Your Own Light-Up Hogwarts,BTHP-C09,5.95,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531409.json
BLADEZ TOYS,BLADEZ,5531410,5060158856152,Harry Potter Creative Maker Kitz - Make Your Own Hogwarts Lanterns,BTHP-C04,2.4,,7.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531410.json
BLADEZ TOYS,BLADEZ,5531411,5060158856923,Harry Potter Hogwarts Bumper Activity Set,BTHP-C08,6.3,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531411.json
BLADEZ TOYS,BLADEZ,5531412,5060158857630,Harry Potter Maker Kitz - Make Your Own Niffler,HP85763,1.5,,5.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531412.json
BLADEZ TOYS,BLADEZ,5531413,5060158858354,Harry Potter Maker Kitz - Make Your Own Buckbeak,HP85835,1.5,,5.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531413.json
BLADEZ TOYS,BLADEZ,5531414,5060158857623,Harry Potter Maker Kitz - Make Your Own Hedwig,HP85762,1.5,,5.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531414.json
BLADEZ TOYS,BLADEZ,5531415,5060158857524,Harry Potter Sticker Activity Set,HP85752,0.85,,2.99,24,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531415.json
BLADEZ TOYS,BLADEZ,5531416,5061051300339,Harry Potter Sticker Activity Set (6 Pack),HP85752-6,5,,16.99,192,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531416.json
BLADEZ TOYS,BLADEZ,5531417,5061051300483,Harry Potter Sticker Activity Set (12 Pack),HP85752-12,10,,32.99,216,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531417.json
BLADEZ TOYS,BLADEZ,5531418,5060158857647,Harry Potter Maker Kitz -  Make Your Own Magical Creatures,HP85764,3.2,,9.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531418.json
BLADEZ TOYS,BLADEZ,5531419,5061051300384,Harry Potter Creative Maker Kitz - Make Your Own Knight Bus,HP30038,5.95,,19.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531419.json
BLADEZ TOYS,BLADEZ,5531420,5061051300025,Harry Potter Maker Kitz - Make Your Own Dobby,HP30002,1.5,,5.99,6,0,No,1501,New Item Setup Sheet 2025 - Bladez Toyz (January 2026).xlsx,products/bladez-toys/DS5531420.json
