DS#,Vendor,Product Name,Lifecycle,Amazon,Walmart 1P,Walmart 3P,TikTok Shop,Best Buy,NocNoc,Shopify (Face2FaceFun),Toys R Us,eBay,Target Plus,Open Cases,Channels Live
5530986,CANAL TOYS,Airbrush Plush Neon Puppy – DIY Stuffed Animal Decorating Kit,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530987,CANAL TOYS,So Slime DIY Slime'licious Scented Slime Station,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530988,CANAL TOYS,So Slime DIY Slime'spresso Café Slime Making Machine,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530989,CANAL TOYS,Paw Patrol Instant Print Camera for Kids,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530990,CANAL TOYS,Photo Creator Instant Camera Thermal Paper Refill – 10 Rolls,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530991,CANAL TOYS,Airbrush Plush Hair'iffic Squishy Kitty – Styling & Airbrush Kit,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530992,CANAL TOYS,Airbrush Plush Hair'iffic Hair Salon & Squishy Plush Styling Set,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530993,CANAL TOYS,Airbrush Plush Light-Up Axolotl – DIY Mood Light Plush Kit,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530994,CANAL TOYS,Airbrush Plush Kawaii Bear – DIY Squishy Plush Decorating Kit,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530995,CANAL TOYS,Art Lab by Canal Toys Fluffy Puffy Paint Studio,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530996,CANAL TOYS,Photo Creator Instant Print Camera – Pink Edition,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
5530997,CANAL TOYS,Real Mini Camera – Original Style Digital Keychain Camera,active,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,not_listed,0,0
